station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
SMA,2011,1,1,0,0.2,90.4,5.6,-1.2,3.67,-0.3,9.4,0,955.7,225,0.4,1.9,0,0,0,0,0,0,0,287,100,41,96
SMA,2011,1,1,1,0.5,90.5,5.7,-0.9,3.75,-0.1,9.8,0,955.4,225,1,2.9,0,0,0,0,0,0,0,287,100,41,96
SMA,2011,1,1,2,0.7,90.3,5.8,-0.7,3.79,0.1,10.1,0,955.2,202,1.6,3.3,0,0,0,0,0,0,0,286,100,41,96
SMA,2011,1,1,3,0.8,89.9,5.8,-0.6,3.82,0.3,10.4,0,955,231,2.6,5.6,0,0,0,0,0,0,0,286,100,41,96
SMA,2011,1,1,4,1,89.1,5.8,-0.6,3.81,0.3,10.5,0,954.8,216,1.9,5.5,0,0,0,0,0,0,0,286,100,41,96
SMA,2011,1,1,5,1,88.3,5.8,-0.7,3.78,0.3,10.4,0,954.8,225,0.9,3.1,0,0,0,0,0,0,0,285,100,41,96
SMA,2011,1,1,6,1,88.2,5.8,-0.7,3.78,0.3,10.4,0,954.9,208,1.7,4.4,0,0,0,0,0,0,0,286,100,41,96
SMA,2011,1,1,7,1.1,86.7,5.7,-0.9,3.74,0.3,10.4,0,955.1,198,2.5,4.7,21,89,13,10,78,72,10,288,100,41,96
SMA,2011,1,1,8,1.2,85.2,5.7,-1,3.73,0.3,10.5,0,955.2,202,2.2,4.1,82,70,71,48,97,107,50,281,94,41,96
SMA,2011,1,1,9,1.6,82.5,5.6,-1.1,3.67,0.5,10.8,0,955.2,208,2.4,5.1,84,12,81,54,63,68,56,281,19,41,96
SMA,2011,1,1,10,1.8,80.3,5.6,-1.2,3.67,0.6,11,0,954.8,236,2.4,5.1,103,2,102,69,70,73,71,256,0,41,96
SMA,2011,1,1,11,1.6,80.5,5.5,-1.4,3.61,0.4,10.6,0,954.3,209,2.9,5.4,95,0,95,64,65,66,66,274,0,41,96
SMA,2011,1,1,12,1.5,80.9,5.5,-1.4,3.61,0.4,10.5,0,953.7,211,2.4,5.4,86,0,86,58,58,60,60,296,0,41,96
