time.yy,time.mm,time.dd,time.hh,tre200h0,ure200h0,fkl010h0,fkl010h1,dkl010h0,skycover,gls,str.diffus,str.direkt
2060,1,1,0,7.5,79.7,2.5,5.9,207,93,0,0,0
2060,1,1,1,8.4,77,3,6.7,219,91,0,0,0
2060,1,1,2,9,74.9,3.3,7.2,228,89,0,0,0
2060,1,1,3,9.5,72.6,3.6,8.1,236,88,0,0,0
2060,1,1,4,9.8,70.9,3.8,8.7,241,87,0,0,0
2060,1,1,5,9.9,69.8,3.9,8.9,244,87,0,0,0
2060,1,1,6,9.9,68.7,3.8,9.4,253,87,0,0,0
2060,1,1,7,9.9,68.2,3.9,9.4,249,85,3,0,0
2060,1,1,8,9.7,68.8,3.6,9.1,246,83,57,43,126
2060,1,1,9,9.9,67.7,3,7.4,228,81,201,90,488
2060,1,1,10,10.7,64,3.9,8.3,220,79,297,102,652
2060,1,1,11,11.3,63,3.6,7.5,220,77,283,95,562
2060,1,1,12,12,60.4,4.3,9,216,75,257,88,519
2060,1,1,13,11.8,61.2,4,7.7,219,79,149,115,124
2060,1,1,14,11.6,62.2,3.2,7.6,219,83,87,69,95
2060,1,1,15,11.2,63,3.1,6.6,216,88,24,24,0
2060,1,1,16,11.1,64.3,2.6,5.4,217,92,0,0,0
2060,1,1,17,10.7,69.1,1.9,4.1,212,96,0,0,0
2060,1,1,18,10.3,75.9,1.7,4.9,219,100,0,0,0
2060,1,1,19,10.5,69.9,3.9,9.6,218,100,0,0,0
2060,1,1,20,11.1,65.3,4.9,10.3,233,100,0,0,0
2060,1,1,21,11.3,66.7,6.6,13.9,254,100,0,0,0
2060,1,1,22,11.2,70.2,5.9,15.4,250,100,0,0,0
2060,1,1,23,12.3,67.2,10.3,25,240,100,0,0,0
2060,1,2,0,12.3,68.3,9.3,21.3,242,100,0,0,0
2060,1,2,1,12.1,72.4,7.2,17,267,100,0,0,0
2060,1,2,2,12.4,74.4,9.5,21.8,252,100,0,0,0
2060,1,2,3,13,74.3,9.6,24.3,249,100,0,0,0
2060,1,2,4,13.2,74.1,8.5,22.3,239,100,0,0,0
2060,1,2,5,13,75.7,7,14.4,247,100,0,0,0
2060,1,2,6,13.1,78.4,7.5,17.2,226,100,0,0,0
2060,1,2,7,13,80.8,6.3,12.3,214,100,1,0,0
2060,1,2,8,11,84.7,6.4,13.3,209,100,10,10,0
2060,1,2,9,13.5,74.9,6.4,13.9,234,100,28,28,0
2060,1,2,10,14.2,72.4,7.4,13,230,100,32,32,0
2060,1,2,11,14.4,68.4,6.1,12.2,226,100,35,35,0
2060,1,2,12,14.6,67.9,7,16.6,237,100,48,48,0
2060,1,2,13,14,77,6.7,16.1,261,98,13,13,0
2060,1,2,14,13.1,86.7,5.5,15.1,264,96,6,6,0
2060,1,2,15,14.2,76.7,9.8,26.9,244,94,7,7,0
2060,1,2,16,16,61.9,12.8,33.3,250,92,1,0,0
2060,1,2,17,14.6,69.4,14.4,31.9,253,90,0,0,0
2060,1,2,18,15.5,56.4,14.9,33.1,252,88,0,0,0
2060,1,2,19,14.2,55.2,17.7,34.4,251,88,0,0,0
2060,1,2,20,13.4,52.7,14.5,36,252,88,0,0,0
2060,1,2,21,12.3,57.6,12.2,25.9,250,88,0,0,0
2060,1,2,22,12.1,53.6,10.8,22,249,88,0,0,0
2060,1,2,23,11.6,56.5,11.2,25,247,88,0,0,0
2060,1,3,0,10.7,63.9,11.6,29.3,252,88,0,0,0
2060,1,3,1,10,65.3,10.1,21,248,88,0,0,0
2060,1,3,2,10.3,62.5,10.2,23.7,249,88,0,0,0
2060,1,3,3,10.3,60.5,11.4,22.5,248,88,0,0,0
2060,1,3,4,10.5,55.8,10.7,23,247,88,0,0,0
2060,1,3,5,10,61.5,8.9,21.1,248,88,0,0,0
2060,1,3,6,10.1,60.1,8.3,19.6,251,88,0,0,0
2060,1,3,7,10.5,55.6,7.4,18.5,242,88,3,0,0
2060,1,3,8,10.9,51.4,5.9,15.6,239,88,23,23,0
2060,1,3,9,11.1,52.8,5.4,12.8,247,88,81,80,5
2060,1,3,10,11.7,51.5,7.3,16.9,252,88,255,111,476
2060,1,3,11,12.3,49.6,8.8,18.7,253,88,290,64,671
2060,1,3,12,12.6,46.2,7.1,14.4,251,88,282,120,491
2060,1,3,13,12,47.4,6.8,13.9,254,85,110,107,11
2060,1,3,14,12.1,48.2,7.1,15.5,252,83,56,56,0
2060,1,3,15,11.9,48.2,5.9,12,243,81,19,19,0
2060,1,3,16,11.6,51.2,7.1,16.2,241,79,1,0,0
2060,1,3,17,11.1,55.3,8.3,20.2,238,77,2,0,0
2060,1,3,18,11.1,56.9,7.4,18.6,244,75,0,0,0
2060,1,3,19,10.2,68.3,8.7,19,245,77,0,0,0
2060,1,3,20,10.8,65.6,7.6,17.2,243,79,0,0,0
