station,time.yy,time.mm,time.dd,time.hh,temp,relhum,vappres,dewpt,mixratio,wetbulb,enthalpy,precip,airpres,winddir,windmean,windmax,rad.global,rad.direct,rad.diffus,rad.vert.N,rad.vert.E,rad.vert.S,rad.vert.W,ir.horiz,cloudcov,albedo,emissivity
KLO,2011,1,1,0,4.6,88.7,7.6,2.8,4.93,3.7,17,0,970.9,317,1.6,2.4,0,0,0,0,0,0,0,249,26,57,97
KLO,2011,1,1,1,3.1,91.9,7.1,1.8,4.56,2.4,14.5,0,970.8,315,1.1,1.9,0,0,0,0,0,0,0,249,0,57,97
KLO,2011,1,1,2,2.2,93.6,6.7,1.1,4.34,1.7,13,0,970.7,360,0.5,0.9,0,0,0,0,0,0,0,249,0,57,97
KLO,2011,1,1,3,1.1,95.7,6.3,0.4,4.09,0.8,11.3,0,970.6,90,0.3,0.7,0,0,0,0,0,0,0,249,0,57,97
KLO,2011,1,1,4,0.5,97.3,6.2,0.1,3.98,0.4,10.4,0,970.4,56,0.7,1.5,0,0,0,0,0,0,0,248,6,57,97
KLO,2011,1,1,5,0.6,96.3,6.1,0,3.96,0.4,10.5,0,970.5,270,0.6,1.3,0,0,0,0,0,0,0,248,0,57,97
KLO,2011,1,1,6,0.7,94.8,6.1,0,3.93,0.4,10.5,0,970.6,225,1.3,2.4,0,0,0,0,0,0,0,249,0,57,97
KLO,2011,1,1,7,0.8,92.4,6,-0.3,3.86,0.4,10.5,0,970.7,225,1.3,2.8,19,69,14,12,65,59,12,250,0,57,97
KLO,2011,1,1,8,0.9,90,5.9,-0.6,3.8,0.3,10.4,0,970.8,250,1.2,2.5,114,263,72,61,242,275,61,252,0,57,97
KLO,2011,1,1,9,1.2,87.8,5.9,-0.6,3.8,0.5,10.7,0,970.9,253,1.3,2.6,199,313,119,102,269,399,102,256,25,57,97
KLO,2011,1,1,10,1.6,86.1,5.9,-0.5,3.8,0.8,11.1,0,970.5,242,1.9,3.2,254,337,148,127,240,477,127,257,13,57,97
KLO,2011,1,1,11,1.8,87.2,6.1,-0.1,3.94,1,11.6,0,969.9,227,1.8,3.2,268,331,158,136,163,488,169,261,0,57,97
KLO,2011,1,1,12,2,83.4,5.9,-0.5,3.81,1,11.5,0,969.4,243,2,5,243,312,147,125,125,446,240,267,13,57,97
KLO,2011,1,1,13,2,81,5.7,-0.9,3.68,0.8,11.2,0,968.9,236,3.1,5.4,185,295,113,96,97,372,262,257,23,57,97
KLO,2011,1,1,14,1.9,81.7,5.7,-0.9,3.68,0.8,11.1,0,968.9,234,2.6,4.5,95,211,64,54,54,221,203,257,13,57,97
