Name;"AUL Zürich SMA"
Einheit;°C
"01.01.2025 00:00:00";-2.400
"01.01.2025 00:15:00";-2.400
"01.01.2025 00:30:00";-2.400
"01.01.2025 00:45:00";-2.400
"01.01.2025 01:00:00";-2.400
"01.01.2025 01:15:00";-2.500
"01.01.2025 01:30:00";-2.600
"01.01.2025 01:45:00";-2.700
"01.01.2025 02:00:00";-2.800
"01.01.2025 02:15:00";-2.800
"01.01.2025 02:30:00";-2.800
"01.01.2025 02:45:00";-2.800
"01.01.2025 03:00:00";-2.800
"01.01.2025 03:15:00";-2.850
"01.01.2025 03:30:00";-2.900
"01.01.2025 03:45:00";-2.950
"01.01.2025 04:00:00";-3.000
"01.01.2025 04:15:00";-2.900
"01.01.2025 04:30:00";-2.800
"01.01.2025 04:45:00";-2.700
"01.01.2025 05:00:00";-2.600
"01.01.2025 05:15:00";-2.650
"01.01.2025 05:30:00";-2.700
"01.01.2025 05:45:00";-2.750
"01.01.2025 06:00:00";-2.800
"01.01.2025 06:15:00";-2.875
"01.01.2025 06:30:00";-2.950
"01.01.2025 06:45:00";-3.025
"01.01.2025 07:00:00";-3.100
"01.01.2025 07:15:00";-3.175
"01.01.2025 07:30:00";-3.250
"01.01.2025 07:45:00";-3.325
"01.01.2025 08:00:00";-3.400
"01.01.2025 08:15:00";-3.375
"01.01.2025 08:30:00";-3.350
"01.01.2025 08:45:00";-3.325
"01.01.2025 09:00:00";-3.300
"01.01.2025 09:15:00";-3.175
"01.01.2025 09:30:00";-3.050
"01.01.2025 09:45:00";-2.925
"01.01.2025 10:00:00";-2.800
"01.01.2025 10:15:00";-2.200
"01.01.2025 10:30:00";-1.600
"01.01.2025 10:45:00";-1.000
"01.01.2025 11:00:00";-0.400
"01.01.2025 11:15:00";0.000
"01.01.2025 11:30:00";0.400
"01.01.2025 11:45:00";0.800
"01.01.2025 12:00:00";1.200
"01.01.2025 12:15:00";1.275
"01.01.2025 12:30:00";1.350
"01.01.2025 12:45:00";1.425
"01.01.2025 13:00:00";1.500
"01.01.2025 13:15:00";1.950
"01.01.2025 13:30:00";2.400
"01.01.2025 13:45:00";2.850
"01.01.2025 14:00:00";3.300
"01.01.2025 14:15:00";3.550
"01.01.2025 14:30:00";3.800
"01.01.2025 14:45:00";4.050
"01.01.2025 15:00:00";4.300
"01.01.2025 15:15:00";4.200
"01.01.2025 15:30:00";4.100
"01.01.2025 15:45:00";4.000
"01.01.2025 16:00:00";3.900
"01.01.2025 16:15:00";3.775
"01.01.2025 16:30:00";3.650
"01.01.2025 16:45:00";3.525
"01.01.2025 17:00:00";3.400
"01.01.2025 17:15:00";3.450
"01.01.2025 17:30:00";3.500
"01.01.2025 17:45:00";3.550
"01.01.2025 18:00:00";3.600
"01.01.2025 18:15:00";3.650
"01.01.2025 18:30:00";3.700
"01.01.2025 18:45:00";3.750
"01.01.2025 19:00:00";3.800
"01.01.2025 19:15:00";3.800
"01.01.2025 19:30:00";3.800
"01.01.2025 19:45:00";3.800
"01.01.2025 20:00:00";3.800
"01.01.2025 20:15:00";3.700
"01.01.2025 20:30:00";3.600
"01.01.2025 20:45:00";3.500
"01.01.2025 21:00:00";3.400
"01.01.2025 21:15:00";3.650
"01.01.2025 21:30:00";3.900
"01.01.2025 21:45:00";4.150
"01.01.2025 22:00:00";4.400
"01.01.2025 22:15:00";4.600
"01.01.2025 22:30:00";4.800
"01.01.2025 22:45:00";5.000
"01.01.2025 23:00:00";5.200
"01.01.2025 23:15:00";5.125
